#OTU ID	MQ201019-23	MQ201019-24	MQ201019-25	MQ201019-26	MQ201019-27	MQ201019-28	MQ201019-29	MQ201019-30	MQ201019-31	MQ201019-32	MQ201019-33	MQ201019-34	MQ201019-35	MQ201019-36	MQ201019-37	MQ201019-38	MQ201019-39	MQ201019-40	MQ201019-41	MQ201019-42	MQ201019-43	MQ201019-44	MQ201019-45	MQ201019-46	MQ201019-47	MQ201019-48	MQ201019-49	MQ201019-50	MQ201019-51	MQ201019-52	MQ201019-53	MQ201019-54	MQ201019-55	MQ201019-56	MQ201019-57	MQ201019-58	MQ201019-59	MQ201019-60	MQ201019-61	MQ201019-62	MQ201019-63	MQ201019-64	MQ201019-65	MQ201019-66	MQ201019-67	MQ201019-68	MQ201019-69	MQ201019-70	MQ201019-71	MQ201019-72	MQ201019-73	MQ201019-74	MQ201019-75	MQ201019-76	MQ201019-77	MQ201019-78	MQ201019-79	MQ201019-80	MQ201019-81	MQ201019-82	MQ201019-83	MQ201019-84	MQ201019-85	MQ201019-86	MQ201019-87	MQ201019-88	MQ201019-89	MQ201019-90
ASV140	83	44	12	15	51	50	0	0	16	3	5	10	63	58	34	97	89	54	39	63	32	15	23	24	33	21	47	42	2	3	4	7	6	9	4	2	74	82	61	64	0	0	0	3	0	0	0	0	43	26	6	12	11	8	39	58	2	2	4	2	4	3	12	6	4	14	14	17
ASV289	28	21	3	4	10	4	0	0	47	11	24	6	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	124	0	1	1	0	0	3	16	11	15	16	35	36	16	25	3	4	4	11	0	0	0	0	0	0	0	0
ASV1042	11	6	3	3	10	16	0	0	0	3	0	1	4	2	3	1	0	2	2	2	0	0	0	0	0	0	0	0	10	3	12	10	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	1	3	2	0	3	1	0	4	2	1
ASV174	201	154	81	92	71	79	0	0	177	54	73	47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV48	118	86	9	7	31	30	0	0	182	84	92	70	171	129	153	241	223	143	110	130	0	0	0	0	5	10	2	1	0	0	0	0	0	0	0	0	28	28	52	60	19	19	20	23	15	15	11	21	164	136	49	60	80	79	106	149	102	89	44	52	25	23	9	20	15	15	12	17
ASV646	31	15	38	49	50	35	0	0	10	10	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
ASV148	26	24	12	15	17	8	17	9	38	21	14	16	18	12	13	26	24	22	18	23	0	1	0	0	0	0	0	0	25	25	21	26	20	19	22	13	31	40	14	26	28	23	18	19	22	28	39	40	26	21	26	29	24	24	17	27	26	32	28	25	26	34	38	37	17	27	33	43
ASV865	25	18	28	21	7	7	0	0	29	15	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1607	3	3	2	7	2	4	0	0	3	4	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	6	2	0	0	0	0	1	1	0	0	1	1	0	0	3	3	2	2	4	3	6	9	0	0	0	0	0	2	0	0	0	0	1	0
ASV2658	8	8	8	8	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV839	4	10	0	1	1	1	0	2	6	6	1	3	13	9	12	10	14	15	15	19	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	2	5	1	7	4	2	0	3	1	2	2	1	2	2	0	1	2	4	5	6	1	1	0	1	0	0	0	0	0	0	0	0
ASV69	167	155	75	74	97	73	1	0	394	262	196	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	40	46	58	3	5	0	0	163	123	2	0	41	73	70	58	77	76	86	80	105	95	116	149	0	0	0	0	0	0	0	0	0	0	0	0
ASV20	404	276	98	132	114	148	49	45	143	70	77	90	141	124	110	193	202	106	132	151	0	1	0	0	0	0	0	0	127	112	127	221	7	3	1	6	35	29	30	42	3	3	0	0	0	0	0	0	263	227	293	312	243	321	314	426	238	234	255	238	112	128	113	124	47	33	120	134
ASV2708	2	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	9	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ASV214	73	47	6	7	23	38	0	0	5	10	5	7	33	18	13	34	36	19	23	35	9	5	7	10	2	4	13	5	1	0	3	1	5	5	3	9	57	54	32	36	0	0	0	2	0	0	0	0	29	17	4	8	8	1	51	68	1	0	3	3	1	1	3	1	4	5	2	1
ASV316	67	59	0	1	0	0	0	0	109	0	64	0	1	3	6	12	2	4	10	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	63	7	7	4	7	0	0	21	24	1	5	0	0	0	0	0	0	0	0
ASV73	29	25	17	17	34	18	3	4	28	42	15	40	42	31	56	76	66	54	43	67	0	0	0	0	0	0	0	0	1	5	5	5	72	67	82	73	36	51	78	77	28	25	152	142	70	75	105	96	24	18	28	25	33	23	25	33	0	0	0	1	41	46	35	42	19	41	53	34
ASV74	49	30	0	0	2	4	0	0	142	83	46	72	12	15	13	15	20	17	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	22	25	575	384	50	68	135	124	167	199	1	1	2	1	0	5	1	0	30	55	69	47	0	0	0	0	0	0	0	0
ASV2490	10	6	12	6	9	7	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV3263	7	4	0	2	8	5	1	1	2	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
ASV476	14	4	2	4	3	2	0	0	118	100	51	79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
